Nombre,Apellido,Telefono,Rol,Departamento,Suc/Agen
JHONATAN JOSUÉ,TOSCANO PALACIOS,+50268162031,Gerente,1,1
MOISES ANTONIO,MORALES GIRÓN,+50242948173,Contador,1,1
JHONATAN JOSUÉ,ZAMORA POLANCO,+50227296231,Asesor,1,1
ALVARO ESAU,ARCE GUZMAN,+50297549413,Cajero,1,1
SERGIO SAUL,CAMBARA GARCIA,+50273591022,Cajero,1,1
LUISA DANIELA,JIMÉNEZ HERNÁNDEZ,+50264581958,Auxiliar,1,1
PEDRO LUIS,VELÁSQUEZ RODAS,+50275830324,Auditor,1,1
EDDY ALEJANDRO,FERNÁNDEZ CHACÓN,+50210171295,Auditor,1,1
IVAN ALESSANDRO,MICA PEREZ,+50256112044,Cajero,1,1
JAVIER ANDRÉS,GODOY SALVATIERRA,+50247314983,RRHH,1,1
TOBÍAS FRANCISCO,FERNÁNDEZ CHACÓN,+50280570644,Gerente,1,1
LUIS CESAR,MARROQUIN ARANA,+50293856380,Asesor,1,1
JUAN SEBASTIAN,COLLADO GONZALEZ,+50264049910,Asesor,1,1
KEVIN ORLANDO,DARDON MAYEN,+50294830751,Asesor,1,1
ALVARO ESAU,ARCE GUZMAN,+50289223808,Auditor,1,1
JONATHAN JOSUÉ,PU TAVICO,+50261100641,Contador,1,1
JAVIER ANDRÉS,CASTRO GUERRA,+50250411649,Gerente,1,1
EDWIN,VELÁSQUEZ RODAS,+50276245457,Gerente,1,1
PEDRO LUIS,LLAMAS CALDERON,+50290978883,RRHH,1,1
JESER OBDULIO,GÓMEZ RENDÓN,+50293649856,Auditor,1,1
ERICK ABDUL,SANDOVAL LÓPEZ,+50292097600,Cajero,20,2
CARMEN MARIA,CAMBARA GARCIA,+50213521249,Cajero,12,2
CARLOS EDUARDO,ARENAS GONZALEZ,+50290092747,Gerente,18,2
RICHARD ALEXANDRO,FERNÁNDEZ CHACÓN,+50249123847,Gerente,6,2
RAMIRO AGUSTÍN,SECAIDA MOLINA,+50233774173,Gerente,12,2
EDWIN AMAN,CASTAÑEDA HERNÁNDEZ,+50243396972,RRHH,8,2
ALLAN JOSUÉ,PERUCH DE LEÓN,+50243905199,RRHH,6,2
EDWIN AMAN,SAM PUM,+50248520867,Asesor,19,2
KEVIN EDUARDO,MAZARIEGOS GARCÍA,+50220672248,Auxiliar,7,2
TOBÍAS FRANCISCO,ROSALES MEDINA,+50219536489,Contador,11,2
SERGIO SAUL,GONZALEZ POLANCO,+50216450359,RRHH,21,3
CARLOS ALEJANDRO,SANTIZO DÍAZ,+50225701499,Auditor,19,3
JAVIER ANDRÉS,CHACON BARILLAS,+50286351823,Cajero,13,3
ALVARO ESAU,COTTO REVOLORIO,+50221686306,Auditor,14,3
RUBÉN ALEJANDRO,MARROQUIN LLAMAS,+50252169094,Cajero,13,3
MANOLO RICARDO,GERARDI HERNÁNDEZ,+50244544478,Cajero,9,3
CARMEN MARIA,RALDA MEJIA,+50252426212,Contador,21,3
TOBÍAS FRANCISCO,DE LEÓN PACHECO,+50262958594,Contador,9,3
