Nombre,Apellido,Telefono,Rol,Departamento,Suc/Agen
JORGE SEBASTIAN,RALDA MEJIA,+50226995171,Auditor,1,1
RICHARD ALEXANDRO,SANDOVAL LÓPEZ,+50215926899,Contador,1,1
VICTOR ABDIEL,RAMIREZ MAZARIEGOS,+50218639254,Contador,1,1
KEVIN ESTUARDO,VELÁSQUEZ RODAS,+50292268981,Auxiliar,1,1
DIANA ESTEFANIA,MAZARIEGOS GARCÍA,+50221126943,Contador,1,1
OSCAR EDUARDO,DE LEÓN PACHECO,+50261558480,Auxiliar,1,1
JESER OBDULIO,ZAMORA SANTOS,+50227851117,RRHH,1,1
RIVER ANDERSON,HIGUEROS DE LEÓN,+50213535812,RRHH,1,1
JONNATHAN ALEXANDER,MONROY PÉREZ,+50221911461,Auxiliar,1,1
JONATHAN JOSUÉ,MICA PEREZ,+50225724754,Auditor,1,1
JORGE SEBASTIAN,BERDUCIDO DOMINGO,+50257609281,Auxiliar,1,1
FRANCISCO DANIEL,VELÁSQUEZ RODAS,+50235079206,Auditor,1,1
WALTER DANIEL,ISMALEJ ROMAN,+50246920219,Auxiliar,1,1
WALTER JOSUE,GÓMEZ CÚN,+50218126306,Gerente,1,1
DAMARIS MAGALI,GODOY SALVATIERRA,+50216143097,RRHH,1,1
PEDRO LUIS,LIZAMA QUIÑONEZ,+50254639556,Gerente,1,1
PABLO DANIEL,CUEVAS TZÚN,+50289171902,Auditor,1,1
EDUARDO ANDRÉS,CONDE HERNANDEZ,+50283138684,Auditor,1,1
PABLO DANIEL,CHACON BARILLAS,+50281195017,RRHH,1,1
ESDRAS BENJAMIN,ZAMORA SANTOS,+50226480106,Gerente,1,1
OSCAR EDUARDO,ROSALES MEDINA,+50214840349,Contador,4,2
KERVIN ADOLFO,CASTRO GUERRA,+50286591071,Asesor,19,2
JAVIER ANDRÉS,SAM PUM,+50246634572,Asesor,6,2
CARLOS EDUARDO,GODOY SALVATIERRA,+50294206961,Cajero,14,2
BRIAN ESTUARDO,SANDOVAL LÓPEZ,+50237431763,Auditor,17,2
WALTER JOSUE,GODOY SALVATIERRA,+50242217817,Auxiliar,6,2
CARLOS JEZEH GEDEONI,REYES CASTILLO,+50241692637,Asesor,5,2
RAMIRO AGUSTÍN,COLLADO GONZALEZ,+50280193106,Cajero,17,2
JHONATAN JOSUÉ,ZAMORA POLANCO,+50257846233,Contador,5,2
LUIS CESAR,DE LEÓN PACHECO,+50295600668,RRHH,22,2
PEDRO LUIS,DARDON MAYEN,+50259046762,RRHH,9,3
WALTER DANIEL,LUX JURACÁN,+50248188976,Asesor,14,3
CARLOS JEZEH GEDEONI,CASTAÑEDA HERNÁNDEZ,+50244325729,Auditor,21,3
MAURICIO ANTONIO,VELÁSQUEZ RODAS,+50285127844,Auditor,19,3
ALLAN RICARDO,MURGA BARILLAS,+50213363098,RRHH,3,3
ISAI,ISMALEJ ROMAN,+50248878824,Asesor,19,3
MAURICIO ANTONIO,SAM PUM,+50249479351,Asesor,11,3
JOHNNY WHILLMAN,LUX JURACÁN,+50230580349,RRHH,17,3
JUAN JOSÉ,RALDA MEJIA,+50222581957,RRHH,4,3
KEVIN EDUARDO,ARENAS GONZALEZ,+50261247132,Contador,9,3
WILLIAM ADOLFO,LIZAMA QUIÑONEZ,+50268117814,RRHH,19,4
ALVARO ESAU,CUEVAS TZÚN,+50240072936,Contador,13,4
ERICK ABDUL,TÉLLES CARCUZ,+50299136965,RRHH,12,4
ISAI,JOSE MANUEL,+50231234115,RRHH,8,4
LUIS FERNANDO,PÉREZ BENITO,+50236355992,RRHH,18,4
VICTOR ABDIEL,GONZALEZ POLANCO,+50283207341,Cajero,20,4
ERICK ABDUL,DE LA CRUZ LOPEZ,+50298251839,Auxiliar,14,4
KEVIN ESTUARDO,DARDON MAYEN,+50210620694,Asesor,16,4
CARLOS ALEJANDRO,ARENAS GONZALEZ,+50280569884,Asesor,6,4
WILLIAM ADOLFO,DE LEÓN PACHECO,+50273803790,Gerente,18,4
OSCAR EDUARDO,CARDONA RAMÍREZ,+50266759557,Contador,21,5
JORGE SEBASTIAN,LIZAMA QUIÑONEZ,+50220051058,Gerente,14,5
BRAYAN ESTIBEN,RALDA MEJIA,+50230918044,Asesor,20,5
KEVIN EDUARDO,HILARIO CHACÓN,+50234992261,Contador,12,5
EDDY ALEJANDRO,ISMALEJ ROMAN,+50286454854,Asesor,13,5
BRIAN ESTUARDO,FUENTES OSOY,+50214727678,Gerente,11,5
EDWIN,LLAMAS CALDERON,+50249623429,Asesor,4,5
JOHNNY WHILLMAN,ARGUETA SALAZAR,+50289761069,Cajero,2,5
KEVIN EDUARDO,CARRERA AGUILAR,+50230047537,Asesor,21,5
RIVER ANDERSON,SAM PUM,+50214861178,Asesor,9,5
LUIS EDUARDO,HIGUEROS DE LEÓN,+50236114643,Contador,21,6
JONNATHAN ALEXANDER,SAM PUM,+50268899469,Asesor,5,6
CARLOS JEZEH GEDEONI,GODOY SALVATIERRA,+50255669462,Gerente,14,6
KERVIN ADOLFO,PU TAVICO,+50231296506,Auxiliar,20,6
DIANA ESTEFANIA,ARENAS GONZALEZ,+50251435213,RRHH,14,6
LUIS EDUARDO,GUTIÉRREZ VELÁSQUEZ,+50295847301,RRHH,3,6
JOHATAN ERNESTO,CASTRO GUERRA,+50228146141,Auditor,2,6
FRANCISCO DANIEL,CARRERA AGUILAR,+50260099732,RRHH,10,6
PEDRO LUIS,AJUCHÁN TOCOCH,+50287378925,Contador,8,6
KARLA ERNESTINA,SAM PUM,+50267208065,Cajero,11,6
WALTER JOSUE,RALDA MEJIA,+50269164078,RRHH,5,7
LUIS FERNANDO,CASTAÑEDA HERNÁNDEZ,+50293000383,Auxiliar,15,7
MOISES ANTONIO,PU TAVICO,+50215815368,RRHH,5,7
MANOLO RICARDO,DE LA CRUZ LOPEZ,+50233283783,Auditor,11,7
PEDRO LUIS,CUEVAS TZÚN,+50210527450,Auxiliar,20,7
MOISES ANTONIO,CHACON BARILLAS,+50274767458,Cajero,22,7
CARLOS JEZEH GEDEONI,VELÁSQUEZ RODAS,+50282575522,RRHH,9,7
LUIS EDUARDO,BERDUCIDO DOMINGO,+50250010500,RRHH,5,7
MAURICIO ANTONIO,MURGA BARILLAS,+50224637151,Auxiliar,2,7
KEVIN EDUARDO,CHACON BARILLAS,+50288195678,Auxiliar,19,7
EDUARDO ISMAEL,REYES CASTILLO,+50264637395,Auxiliar,22,8
WILLIAM ADOLFO,ROSALES MEDINA,+50253770903,Auxiliar,3,8
ESDRAS BENJAMIN,ROSALES MEDINA,+50233672959,Auditor,17,8
MOISES ANTONIO,RALDA MEJIA,+50279279252,Asesor,12,8
EDDY ALEJANDRO,JIMÉNEZ HERNÁNDEZ,+50263164651,Contador,22,8
CARLOS ALEJANDRO,PU TAVICO,+50260004320,Contador,18,8
DAMARIS MAGALI,SECAIDA MOLINA,+50260851314,RRHH,13,8
LUIS EDUARDO,DE LA CRUZ LOPEZ,+50231722861,Contador,11,8
SERGIO SAUL,CHACON BARILLAS,+50259971644,Cajero,21,8
SERGIO SAUL,ZAMORA SANTOS,+50269874225,RRHH,18,8
SERGIO SAUL,GONZALEZ POLANCO,+50231252990,Asesor,6,9
JOSÉ JAVIER,SANTIZO DÍAZ,+50268018197,Cajero,5,9
LOURDES PATRICIA,CASTAÑEDA HERNÁNDEZ,+50298125000,Gerente,14,9
JONATHAN JOSUÉ,LLAMAS CALDERON,+50287982429,RRHH,20,9
SERGIO SAUL,RALDA MEJIA,+50270486024,Auditor,19,9
WALTER DANIEL,BERDUCIDO DOMINGO,+50263938012,Contador,6,9
RIVER ANDERSON,HILARIO CHACÓN,+50238022087,Gerente,11,9
JOSUÉ ALEJANDRO,BARILLAS SOSA,+50223016023,Gerente,4,9
RUBÉN ALEJANDRO,MARROQUIN ARANA,+50235106134,RRHH,18,9
EDUARDO ANDRÉS,MICA PEREZ,+50258950027,Contador,18,9
KARLA ERNESTINA,BARILLAS SOSA,+50227272526,Auxiliar,3,10
IVAN ALESSANDRO,PU TAVICO,+50215520784,Auditor,21,10
RAMIRO AGUSTÍN,CAMBARA GARCIA,+50229290453,Auxiliar,18,10
JESER OBDULIO,GONZALEZ POLANCO,+50242307254,Contador,8,10
PABLO DANIEL,VALDEZ GONZÁLEZ,+50270278118,Auxiliar,6,10
LUIS CESAR,PERUCH DE LEÓN,+50249864744,Auditor,13,10
BRAYAN ESTIBEN,COLLADO GONZALEZ,+50275907803,Auditor,17,10
WALTER DANIEL,MARROQUIN LLAMAS,+50262010588,Cajero,12,10
EDDY ALEJANDRO,PU TAVICO,+50227391987,Contador,2,10
KEVIN ORLANDO,MARROQUIN ARANA,+50293249052,RRHH,11,10
EDWIN,TOSCANO PALACIOS,+50216985970,Contador,20,11
CARLOS ALEJANDRO,SAM PUM,+50250063621,Asesor,8,11
OSCAR FERNANDO,MICA PEREZ,+50251625354,Asesor,17,11
EDUARDO ISMAEL,BERDUCIDO DOMINGO,+50253726884,Contador,4,11
LUISA DANIELA,GÓMEZ RENDÓN,+50274539696,Auditor,11,11
LOPEZ LEMUS,LÓPEZ PIRIR,+50273494369,Auditor,7,11
JUAN SEBASTIAN,CONDE HERNANDEZ,+50278776130,Auditor,5,11
WALTER JOSUE,LLAMAS CALDERON,+50299347532,Contador,3,11
LUIS FERNANDO,SECAIDA MOLINA,+50218450309,Auxiliar,16,11
OSCAR FERNANDO,GÓMEZ RENDÓN,+50248064338,Gerente,14,11
MOISES ANTONIO,BARILLAS SOSA,+50230965806,Auditor,19,12
EDUARDO ANDRÉS,DE LEÓN PACHECO,+50269165881,Contador,7,12
DIANA ESTEFANIA,MARROQUIN ARANA,+50238980201,Cajero,3,12
DAMARIS MAGALI,HILARIO CHACÓN,+50247074761,Auditor,8,12
